Alternative,Expression,Segment,Coefficient,Description
w_eb,w_eb_skim.[In-Vehicle Time],,-0.02129,IVTT
w_eb,w_eb_skim.Fare,,-0.107363,Fare
w_eb,w_eb_skim.[Access Walk Time],,-0.09,Access walk time
w_eb,w_eb_skim.[Initial Wait Time],,-0.0826,Initial wait time
w_eb,w_eb_skim.[Transfer Wait Time],,-0.0631,Transfer wait time
w_eb,w_eb_skim.[Egress Walk Time],,-0.062,Egress walk time
w_eb,w_eb_skim.[Number of Transfers] > 1,,-0.3018,High transfers
w_eb,se.HiIncomePct.O,,-0.8481,High income household percentage
w_brt,Constant,v0,1.1173,Zero-vehicle households
w_brt,Constant,hvvi,0.5373,Vehicle Insufficient households
w_brt,Constant,hvvi,0.08,Path type constant = -.25 (visibility) * 15 (mins) * IVTTcoef
w_brt,Constant,hvvs,0.12,Path type constant = -.25 (visibility) * 22.5 (mins) * IVTTcoef
w_brt,Constant,cavvi,0.5373,Vehicle Insufficient households
w_brt,Constant,cavvi,0.08,Path type constant = -.25 (visibility) * 15 (mins) * IVTTcoef
w_brt,Constant,cavvs,0.12,Path type constant = -.25 (visibility) * 22.5 (mins) * IVTTcoef
w_brt,Constant,,2.165,Constant
w_brt,w_brt_skim.[In-Vehicle Time] * .95,,-0.02129,IVTT (discounted)
w_brt,w_brt_skim.Fare,,-0.107363,Fare
w_brt,w_brt_skim.[Access Walk Time],,-0.09,Access walk time
w_brt,w_brt_skim.[Initial Wait Time],,-0.0826,Initial wait time
w_brt,w_brt_skim.[Transfer Wait Time],,-0.0631,Transfer wait time
w_brt,w_brt_skim.[Egress Walk Time],,-0.062,Egress walk time
w_brt,w_brt_skim.[Number of Transfers] > 2,,-0.3018,High transfers
